numero,situacao,descricao,complemento,classificacao_contabil,localizacao_sistema,data_entrada,valor_compra,valor_atual,local_verificado,estado_conservacao,usuario,data_hora,usuario_bem,imagem,contagem
13223,BAIXADO,IMPRESSORA,IMPRESSORA HP LASER JET MONO P2055DN COM CABO USB 1.8M,EQUIPAMENTOS DE PROCESSAMENTO DE DADOS,BENS TI PARA ALIENAÇÃO 2024,19/01/2012,"1.521,75","1.036,03",,,,,,,1
14192,ATIVO,IMPRESSORA,IMPRESSORA TÉRMICA GS 2406T GAINSCHA SN GS3FC200605000129,EQUIPAMENTOS DE PROCESSAMENTO DE DADOS,09 - CDPROF,23/12/2020,"1.170,00","1.170,00",09 - CDPROF,Bom,Ana Beatriz,2025-12-18 12:46:00,,,0
14194,ATIVO,IMPRESSORA,IMPRESSORA TÉRMICA GS 2406T GAINSCHA SN GS3FC200605000131,EQUIPAMENTOS DE PROCESSAMENTO DE DADOS,09 - CDPROF,23/12/2020,"1.170,00","1.170,00",09 - CDPROF,Bom,Ana Beatriz,2025-12-18 12:46:00,,,0
14195,ATIVO,IMPRESSORA,IMPRESSORA TÉRMICA GS 2406T GAINSCHA SN GS3FC200605000132,EQUIPAMENTOS DE PROCESSAMENTO DE DADOS,09 - CDPROF,23/12/2020,"1.170,00","1.170,00",09 - CDPROF,Bom,Ana Beatriz,2025-12-18 12:46:00,,,0
14196,ATIVO,IMPRESSORA,IMPRESSORA TÉRMICA GS 2406T GAINSCHA SN GS3FC200605000381,EQUIPAMENTOS DE PROCESSAMENTO DE DADOS,09 - CDPROF,23/12/2020,"1.170,00","1.170,00",09 - CDPROF,Bom,Ana Beatriz,2025-12-18 12:46:00,,,0
14200,ATIVO,IMPRESSORA,IMPRESSORA TÉRMICA GS 2406T GAINSCHA SN GS3FC200605000399,EQUIPAMENTOS DE PROCESSAMENTO DE DADOS,09 - CDPROF,23/12/2020,"1.170,00","1.170,00",09 - CDPROF,Bom,Ana Beatriz,2025-12-18 12:46:00,,,0
14201,ATIVO,IMPRESSORA,IMPRESSORA TÉRMICA GS 2406T GAINSCHA SN GS3FC200605000400,EQUIPAMENTOS DE PROCESSAMENTO DE DADOS,09 - CDPROF,23/12/2020,"1.170,00","1.170,00",09 - CDPROF,Bom,Ana Beatriz,2025-12-18 12:46:00,,,0
14226,ATIVO,COMPUTADOR,MINI HP ELITEDESK 800 G5 DM COM WINDOWS 10 PROFESSIONAL,EQUIPAMENTOS DE PROCESSAMENTO DE DADOS,09 - CDPROF,08/03/2021,"4.355,00","4.355,00",09 - CDPROF,Bom,Ana Beatriz,2025-12-18 12:39:51,,,0
14266,ATIVO,COMPUTADOR,MINI HP ELITEDESK 800 G5 DM COM WINDOWS 10 PROFESSIONAL,EQUIPAMENTOS DE PROCESSAMENTO DE DADOS,09 - CDPROF,08/03/2021,"4.355,00","4.355,00",09 - CDPROF,Bom,Ana Beatriz,2025-12-18 12:39:51,,,0
14274,ATIVO,COMPUTADOR,MINI HP ELITEDESK 800 G5 DM COM WINDOWS 10 PROFESSIONAL,EQUIPAMENTOS DE PROCESSAMENTO DE DADOS,09 - CDPROF,08/03/2021,"4.355,00","4.355,00",09 - CDPROF,Bom,Ana Beatriz,2025-12-18 12:39:51,,,0
14275,ATIVO,COMPUTADOR,MINI HP ELITEDESK 800 G5 DM COM WINDOWS 10 PROFESSIONAL,EQUIPAMENTOS DE PROCESSAMENTO DE DADOS,09 - CDPROF,08/03/2021,"4.355,00","4.355,00",09 - CDPROF,Bom,Ana Beatriz,2025-12-18 12:37:21,,,0
14297,ATIVO,MONITOR,MONITOR HP Z DISPLAY Z24I G2 PN: 1JS08A4#ABA,EQUIPAMENTOS DE PROCESSAMENTO DE DADOS,09 - CDPROF,08/03/2021,"1.200,00","1.200,00",09 - CDPROF,Bom,Ana Beatriz,2025-12-18 12:32:48,,,0
14303,ATIVO,MONITOR,MONITOR HP Z DISPLAY Z24I G2 PN: 1JS08A4#ABA,EQUIPAMENTOS DE PROCESSAMENTO DE DADOS,09 - CDPROF,08/03/2021,"1.200,00","1.200,00",09 - CDPROF,Bom,Ana Beatriz,2025-12-18 12:35:24,,,0
